Name|Meaning|link
Aarushi |  Dawn, Daybreak, Sunup, Flame, Fire, Passion, Bright, Shining, Sparklingdawn, Red Sky In The Early Morning, First Rays Of The Sun, Life... | https://parenting.firstcry.com/articles/name-meaning/aarushi/
Shanvika |  Goddess Lakshmi, One Who Will Be Followed | https://parenting.firstcry.com/articles/name-meaning/shanvika/
Ankita |  Conquered, Symbol, Emblem, Metaphor, Distinguished, Eminent, Esteemedconquered, A Signet, With Auspicious Marks, Marked Out, Feminine Form Of Ankit, They Are A... | https://parenting.firstcry.com/articles/name-meaning/ankita/
Diksha |  Initiation, Beginning, Institution, Sacrifice, Ritual Slaughter, Self | https://parenting.firstcry.com/articles/name-meaning/diksha/
Aavya |  First Rays Of The Sun, Gift Of God | https://parenting.firstcry.com/articles/name-meaning/aavya/
Dhanvi |  Wealthy, Rich, Silk | https://parenting.firstcry.com/articles/name-meaning/dhanvi/
Aparna |  Leafless, Goddess Parvati, One Who Lives Without Eating Even Leaves, Name Of Durga Or Parvatee, One Without Prana (Leaf), From The... | https://parenting.firstcry.com/articles/name-meaning/aparna/
Pranisha |  Love To Life | https://parenting.firstcry.com/articles/name-meaning/pranisha/
Advita |  Lovely, Beautiful, Enchantingone Or Unique, First One. Number One | https://parenting.firstcry.com/articles/name-meaning/advita/
Monika |  Counsel, Advice, Recommendations, Advisor, Solitary, Lonely, Antisocialcounsel, Old Greek  | https://parenting.firstcry.com/articles/name-meaning/monika/
Shanvi |  Glowing, Bright, Lit Up, Attractive, Appealing, Good | https://parenting.firstcry.com/articles/name-meaning/shanvi/
Samiha |  Generous, Liberal, Bounteousgenerous, A Generous And Kindhearted Woman | https://parenting.firstcry.com/articles/name-meaning/samiha/
Akshara |  Letters, Letter, Alphabetical Character, Grapheme, Syllable, Goddess Saraswati, Sound, Unalterable, Not Perishable, One Of Many Names Of Lord Vishnu, Name Of... | https://parenting.firstcry.com/articles/name-meaning/akshara/
Amahira |  Only One Expert In Every Field | https://parenting.firstcry.com/articles/name-meaning/amahira/
Ashwika |  Goddess Santhoshi Maa | https://parenting.firstcry.com/articles/name-meaning/ashwika/
Anika |  Goddess Durga, The Brilliance Of Stone, Graceful Young GirlSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/anika/
Gyanvi |  Knowledgable Person | https://parenting.firstcry.com/articles/name-meaning/gyanvi/
Aadya |  First, Earliest, Fundamental, Unequalled, Unbeaten, Par Excellence, Perfect, Ideal, Superbfirst Power, Goddess Durga, The Earth, Another Ornament, The Word Signifies The... | https://parenting.firstcry.com/articles/name-meaning/aadya-2/
Siona |  Stars | https://parenting.firstcry.com/articles/name-meaning/siona/
Anudhya |  Thinking, Intelligent, Logicalthinking, Wishing Well Of | https://parenting.firstcry.com/articles/name-meaning/anudhya/
Hatisha |  With No Desire, One Who Has No Desire, Without Any Wishes Or DesiresSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/hatisha/
Aarya |  Honored, Noble, Aristocratic, Gentle, Durga, Goddess Parvati, The Other Name Of Goddess ParvatiSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aarya-3/
